Company,Job Title,Job Description,Eligibility,Registration Dates,Job Type,Location,More Info,Salary
Swiggy,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Remote,https://careers.swiggy.com,₹22 LPA
Flipkart,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Bangalore,https://careers.flipkart.com,₹10 LPA
Ola,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Mumbai,https://careers.ola.com,₹4 LPA
Uber,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Hyderabad,https://careers.uber.com,₹8 LPA
PhonePe,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Pune,https://careers.phonepe.com,₹3 LPA
Paytm,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Remote,https://careers.paytm.com,₹23 LPA
Byju's,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Bangalore,https://careers.byju's.com,₹9 LPA
CRED,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Mumbai,https://careers.cred.com,₹27 LPA
Razorpay,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Hyderabad,https://careers.razorpay.com,₹24 LPA
Freshworks,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Pune,https://careers.freshworks.com,₹27 LPA
Zoho,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Remote,https://careers.zoho.com,₹30 LPA
Meesho,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Bangalore,https://careers.meesho.com,₹22 LPA
LinkedIn,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Mumbai,https://careers.linkedin.com,₹27 LPA
Twitter,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Hyderabad,https://careers.twitter.com,₹27 LPA
Hindustan Unilever,HR Executive,Handle hr executive responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.hindustanunilever.com,₹10 LPA
ITC,Marketing Manager,Handle marketing manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.itc.com,₹8 LPA
Asian Paints,Sales Associate,Handle sales associate responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.asianpaints.com,₹12 LPA
Tata Group,Business Analyst,Handle business analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.tatagroup.com,₹7 LPA
Reliance Industries,Content Writer,Handle content writer responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.relianceindustries.com,₹15 LPA
Godrej,Graphic Designer,Handle graphic designer responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.godrej.com,₹3 LPA
Mahindra,Operations Manager,Handle operations manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.mahindra.com,₹14 LPA
Nestle India,Customer Support Executive,Handle customer support executive responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.nestleindia.com,₹9 LPA
Marico,Financial Analyst,Handle financial analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.marico.com,₹12 LPA
P&G India,Product Manager,Handle product manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.p&gindia.com,₹8 LPA
Britannia,Project Coordinator,Handle project coordinator responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.britannia.com,₹8 LPA
Amul,Recruitment Specialist,Handle recruitment specialist responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.amul.com,₹7 LPA
Dabur,Accountant,Handle accountant responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.dabur.com,₹9 LPA
HDFC Bank,Administrative Assistant,Handle administrative assistant responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.hdfcbank.com,₹11 LPA
ICICI Bank,Legal Associate,Handle legal associate responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.icicibank.com,₹4 LPA
Axis Bank,PR Specialist,Handle pr specialist responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.axisbank.com,₹14 LPA
Kotak Mahindra,Social Media Manager,Handle social media manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.kotakmahindra.com,₹5 LPA
SBI,Event Coordinator,Handle event coordinator responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.sbi.com,₹3 LPA
Yes Bank,Office Manager,Handle office manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.yesbank.com,₹4 LPA
IDFC First Bank,Quality Analyst,Handle quality analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.idfcfirstbank.com,₹7 LPA
Hindustan Unilever,HR Executive,Handle hr executive responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.hindustanunilever.com,₹12 LPA
ITC,Marketing Manager,Handle marketing manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.itc.com,₹7 LPA
Asian Paints,Sales Associate,Handle sales associate responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.asianpaints.com,₹14 LPA
Tata Group,Business Analyst,Handle business analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.tatagroup.com,₹5 LPA
Reliance Industries,Content Writer,Handle content writer responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.relianceindustries.com,₹4 LPA
Godrej,Graphic Designer,Handle graphic designer responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.godrej.com,₹8 LPA
Mahindra,Operations Manager,Handle operations manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.mahindra.com,₹4 LPA
Nestle India,Customer Support Executive,Handle customer support executive responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.nestleindia.com,₹13 LPA
Marico,Financial Analyst,Handle financial analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.marico.com,₹4 LPA
P&G India,Product Manager,Handle product manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.p&gindia.com,₹11 LPA
Britannia,Project Coordinator,Handle project coordinator responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.britannia.com,₹2 LPA
Amul,Recruitment Specialist,Handle recruitment specialist responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.amul.com,₹9 LPA
Dabur,Accountant,Handle accountant responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.dabur.com,₹14 LPA
HDFC Bank,Administrative Assistant,Handle administrative assistant responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.hdfcbank.com,₹9 LPA
ICICI Bank,Legal Associate,Handle legal associate responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.icicibank.com,₹11 LPA
Axis Bank,PR Specialist,Handle pr specialist responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.axisbank.com,₹12 LPA
Kotak Mahindra,Social Media Manager,Handle social media manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.kotakmahindra.com,₹8 LPA
SBI,Event Coordinator,Handle event coordinator responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.sbi.com,₹2 LPA
Yes Bank,Office Manager,Handle office manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.yesbank.com,₹8 LPA
IDFC First Bank,Quality Analyst,Handle quality analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.idfcfirstbank.com,₹12 LPA
Hindustan Unilever,HR Executive,Handle hr executive responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.hindustanunilever.com,₹11 LPA
ITC,Marketing Manager,Handle marketing manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.itc.com,₹5 LPA
Asian Paints,Sales Associate,Handle sales associate responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.asianpaints.com,₹3 LPA
Tata Group,Business Analyst,Handle business analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.tatagroup.com,₹2 LPA
Reliance Industries,Content Writer,Handle content writer responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.relianceindustries.com,₹6 LPA
Godrej,Graphic Designer,Handle graphic designer responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.godrej.com,₹12 LPA
Mahindra,Operations Manager,Handle operations manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.mahindra.com,₹8 LPA
Nestle India,Customer Support Executive,Handle customer support executive responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.nestleindia.com,₹6 LPA
Marico,Financial Analyst,Handle financial analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.marico.com,₹3 LPA
P&G India,Product Manager,Handle product manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.p&gindia.com,₹14 LPA
Britannia,Project Coordinator,Handle project coordinator responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.britannia.com,₹7 LPA
Amul,Recruitment Specialist,Handle recruitment specialist responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.amul.com,₹4 LPA
Dabur,Accountant,Handle accountant responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.dabur.com,₹3 LPA
HDFC Bank,Administrative Assistant,Handle administrative assistant responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.hdfcbank.com,₹2 LPA
ICICI Bank,Legal Associate,Handle legal associate responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.icicibank.com,₹2 LPA
Axis Bank,PR Specialist,Handle pr specialist responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.axisbank.com,₹14 LPA
Kotak Mahindra,Social Media Manager,Handle social media manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.kotakmahindra.com,₹6 LPA
SBI,Event Coordinator,Handle event coordinator responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.sbi.com,₹8 LPA
Yes Bank,Office Manager,Handle office manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.yesbank.com,₹10 LPA
IDFC First Bank,Quality Analyst,Handle quality analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.idfcfirstbank.com,₹14 LPA
Hindustan Unilever,HR Executive,Handle hr executive responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.hindustanunilever.com,₹13 LPA
ITC,Marketing Manager,Handle marketing manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.itc.com,₹8 LPA
Asian Paints,Sales Associate,Handle sales associate responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.asianpaints.com,₹4 LPA
Tata Group,Business Analyst,Handle business analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.tatagroup.com,₹10 LPA
Reliance Industries,Content Writer,Handle content writer responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.relianceindustries.com,₹14 LPA
Godrej,Graphic Designer,Handle graphic designer responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.godrej.com,₹10 LPA
Mahindra,Operations Manager,Handle operations manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.mahindra.com,₹10 LPA
Nestle India,Customer Support Executive,Handle customer support executive responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.nestleindia.com,₹11 LPA
Marico,Financial Analyst,Handle financial analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.marico.com,₹12 LPA
P&G India,Product Manager,Handle product manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.p&gindia.com,₹2 LPA
Britannia,Project Coordinator,Handle project coordinator responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.britannia.com,₹5 LPA
Amul,Recruitment Specialist,Handle recruitment specialist responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.amul.com,₹10 LPA
Dabur,Accountant,Handle accountant responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.dabur.com,₹9 LPA
HDFC Bank,Administrative Assistant,Handle administrative assistant responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.hdfcbank.com,₹7 LPA
ICICI Bank,Legal Associate,Handle legal associate responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.icicibank.com,₹7 LPA
Axis Bank,PR Specialist,Handle pr specialist responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.axisbank.com,₹12 LPA
Kotak Mahindra,Social Media Manager,Handle social media manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.kotakmahindra.com,₹10 LPA
SBI,Event Coordinator,Handle event coordinator responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.sbi.com,₹13 LPA
Yes Bank,Office Manager,Handle office manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.yesbank.com,₹2 LPA
IDFC First Bank,Quality Analyst,Handle quality analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.idfcfirstbank.com,₹6 LPA
Hindustan Unilever,HR Executive,Handle hr executive responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.hindustanunilever.com,₹13 LPA
ITC,Marketing Manager,Handle marketing manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.itc.com,₹3 LPA
Asian Paints,Sales Associate,Handle sales associate responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.asianpaints.com,₹3 LPA
Tata Group,Business Analyst,Handle business analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.tatagroup.com,₹6 LPA
Reliance Industries,Content Writer,Handle content writer responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.relianceindustries.com,₹4 LPA
Godrej,Graphic Designer,Handle graphic designer responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.godrej.com,₹8 LPA
Mahindra,Operations Manager,Handle operations manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.mahindra.com,₹7 LPA
Nestle India,Customer Support Executive,Handle customer support executive responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.nestleindia.com,₹5 LPA
Marico,Financial Analyst,Handle financial analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.marico.com,₹15 LPA
P&G India,Product Manager,Handle product manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.p&gindia.com,₹12 LPA
Britannia,Project Coordinator,Handle project coordinator responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.britannia.com,₹3 LPA
Amul,Recruitment Specialist,Handle recruitment specialist responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.amul.com,₹9 LPA
Dabur,Accountant,Handle accountant responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.dabur.com,₹2 LPA
HDFC Bank,Administrative Assistant,Handle administrative assistant responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.hdfcbank.com,₹10 LPA
ICICI Bank,Legal Associate,Handle legal associate responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Bangalore,https://careers.icicibank.com,₹8 LPA
Axis Bank,PR Specialist,Handle pr specialist responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Remote,https://careers.axisbank.com,₹10 LPA
Kotak Mahindra,Social Media Manager,Handle social media manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Delhi,https://careers.kotakmahindra.com,₹15 LPA
SBI,Event Coordinator,Handle event coordinator responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Mumbai,https://careers.sbi.com,₹4 LPA
Yes Bank,Office Manager,Handle office manager responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Full-time,Chennai,https://careers.yesbank.com,₹2 LPA
IDFC First Bank,Quality Analyst,Handle quality analyst responsibilities effectively and efficiently.,"Graduate in relevant field, experience preferred",2025-04-15 to 2025-05-30,Contract,Kolkata,https://careers.idfcfirstbank.com,₹4 LPA
Meta,AI Researcher,Work on cutting-edge global tech projects in ai researcher.,Bachelor's or Master’s in relevant field,2025-04-10 to 2025-05-20,Full-time,Berlin,https://careers.meta.com,$98k USD/year
HSBC,AI Researcher,Work on cutting-edge global tech projects in ai researcher.,Bachelor's or Master’s in relevant field,2025-04-10 to 2025-05-20,Full-time,Singapore,https://careers.hsbc.com,$145k USD/year
Amazon,Mobile Developer,Work on cutting-edge global tech projects in mobile developer.,Bachelor's or Master’s in relevant field,2025-04-10 to 2025-05-20,Full-time,Singapore,https://careers.amazon.com,$82k USD/year
